text,category,priority
Infrastructure development is needed in zone 327. with people in urgent distress,Infrastructure,HIGH
Waste disposal systems are absent in locality 226. to support ongoing recovery,Sanitation,MEDIUM
Village 74 requires installation of water supply systems. as part of current needs,Water,MEDIUM
Electricity supply is unreliable in region 212. to help the affected community,Infrastructure,MEDIUM
Residents report ongoing education problems making survival difficult. Case 339 for future planning,Education,LOW
People in area 197 need skill development opportunities. to support ongoing recovery,Livelihood,MEDIUM
Roads in village 65 are damaged and unsafe. as a general requirement,Infrastructure,LOW
Community 312 depends on contaminated water sources. for timely assistance,Water,MEDIUM
Electricity supply is unreliable in region 155. following a severe disaster,Infrastructure,HIGH
Waste disposal systems are absent in locality 394. for timely assistance,Sanitation,MEDIUM
Water scarcity is affecting daily life in region 361. for future planning,Water,LOW
There has been a continuous problem with food services affecting daily life. Case 818 due to a critical situation,Food,HIGH
Residents in area 95 walk long distances for water collection. as a general requirement,Water,LOW
There has been a continuous problem with food services affecting daily life. Case 583 for timely assistance,Food,MEDIUM
Waste disposal systems are absent in locality 271. for future planning,Sanitation,LOW
Sanitation infrastructure is inadequate in zone 409. for future planning,Sanitation,LOW
Electricity supply is unreliable in region 182. for routine support,Infrastructure,LOW
Village 276 requires installation of water supply systems. as part of current needs,Water,MEDIUM
"In our village, school closed due to no funds over the past few days, kids are getting weak dropping out. as lives are at immediate risk",Education,HIGH
Open defecation is common in region 241. to prepare for upcoming needs,Sanitation,LOW
"roof broken unsafe living, urgent attention needed following a severe disaster",Shelter,HIGH
Infrastructure development is needed in zone 227. following a severe disaster,Infrastructure,HIGH
Workers in locality 166 are struggling to find jobs. for timely assistance,Livelihood,MEDIUM
"In near the industrial belt, severe malaria cases increasing since supplies stopped, the whole neighborhood is struggling without drugs. following a severe disaster",Health,HIGH
There has been a continuous problem with food services affecting daily life. Case 811 following a severe disaster,Food,HIGH
"no teacher coming regularly, pls help for timely assistance",Education,MEDIUM
"school closed most days, needs improvement to prepare for upcoming needs",Education,LOW
Bridges in area 342 require urgent repair. as lives are at immediate risk,Infrastructure,HIGH
Waste disposal systems are absent in locality 107. for future planning,Sanitation,LOW
Community 231 is recovering from cyclone damage. as part of current needs,Disaster,MEDIUM
Water scarcity is affecting daily life in region 61. as a general requirement,Water,LOW
Earthquake impact is severe in region 25. for future planning,Disaster,LOW
Many families are impacted due to lack of proper food resources. Case 991 as lives are at immediate risk,Food,HIGH
Infrastructure development is needed in zone 392. to support ongoing recovery,Infrastructure,MEDIUM
Many families are impacted due to lack of proper shelter resources. Case 839 as a general requirement,Shelter,LOW
Relief support is needed after disaster in locality 234. for routine support,Disaster,LOW
There has been a continuous problem with health services affecting daily life. Case 748 with people in urgent distress,Health,HIGH
Workers in locality 243 are struggling to find jobs. to help the affected community,Livelihood,MEDIUM
Residents report ongoing shelter problems making survival difficult. Case 406 for routine support,Shelter,LOW
Area 181 lacks proper sanitation and toilet facilities. to support ongoing recovery,Sanitation,MEDIUM
Electricity supply is unreliable in region 109. following a severe disaster,Infrastructure,HIGH
Community 282 depends on contaminated water sources. as part of current needs,Water,MEDIUM
Electricity supply is unreliable in region 47. for timely assistance,Infrastructure,MEDIUM
food supply stopped suddenly to prepare for upcoming needs,Food,LOW
Roads in village 371 are damaged and unsafe. with people in urgent distress,Infrastructure,HIGH
Community 99 depends on contaminated water sources. to prepare for upcoming needs,Water,LOW
There has been a continuous problem with education services affecting daily life. Case 452 to support ongoing recovery,Education,MEDIUM
Community 380 depends on contaminated water sources. to support ongoing recovery,Water,MEDIUM
Natural disaster has disrupted life in zone 149. as a general requirement,Disaster,LOW
Bridges in area 115 require urgent repair. to help the affected community,Infrastructure,MEDIUM
Sanitation infrastructure is inadequate in zone 341. for future planning,Sanitation,LOW
Sanitation infrastructure is inadequate in zone 164. as lives are at immediate risk,Sanitation,HIGH
The situation regarding education has worsened significantly in recent days. Case 132 to prepare for upcoming needs,Education,LOW
Relief support is needed after disaster in locality 338. as a general requirement,Disaster,LOW
Residents report ongoing health problems making survival difficult. Case 959 due to a critical situation,Health,HIGH
Roads in village 309 are damaged and unsafe. as part of current needs,Infrastructure,MEDIUM
Many families are impacted due to lack of proper shelter resources. Case 456 to prepare for upcoming needs,Shelter,LOW
There has been a continuous problem with food services affecting daily life. Case 40 for timely assistance,Food,MEDIUM
"school closed most days, getting worse daily for future planning",Education,LOW
Roads in village 373 are damaged and unsafe. following a severe disaster,Infrastructure,HIGH
Many families are impacted due to lack of proper education resources. Case 87 to help the affected community,Education,MEDIUM
Residents report ongoing food problems making survival difficult. Case 746 as lives are at immediate risk,Food,HIGH
Infrastructure development is needed in zone 55. to support ongoing recovery,Infrastructure,MEDIUM
Public transport is unavailable in locality 133. for timely assistance,Infrastructure,MEDIUM
Bridges in area 195 require urgent repair. with people in urgent distress,Infrastructure,HIGH
Area 19 lacks proper sanitation and toilet facilities. as lives are at immediate risk,Sanitation,HIGH
food not enough for family to support ongoing recovery,Food,MEDIUM
Residents report ongoing health problems making survival difficult. Case 989 with people in urgent distress,Health,HIGH
Public transport is unavailable in locality 64. for future planning,Infrastructure,LOW
Livelihood support is required for households in zone 168. as lives are at immediate risk,Livelihood,HIGH
Flooding has displaced families in area 270. due to a critical situation,Disaster,HIGH
There has been a continuous problem with education services affecting daily life. Case 529 to support ongoing recovery,Education,MEDIUM
Electricity supply is unreliable in region 94. due to a critical situation,Infrastructure,HIGH
There has been a continuous problem with education services affecting daily life. Case 979 as part of current needs,Education,MEDIUM
Residents in area 37 walk long distances for water collection. as lives are at immediate risk,Water,HIGH
People in this area are facing severe issues related to shelter and need support immediately. Case 486 as a general requirement,Shelter,LOW
Electricity supply is unreliable in region 286. with people in urgent distress,Infrastructure,HIGH
Water scarcity is affecting daily life in region 236. to prepare for upcoming needs,Water,LOW
Public transport is unavailable in locality 241. due to a critical situation,Infrastructure,HIGH
Earthquake impact is severe in region 343. following a severe disaster,Disaster,HIGH
Unemployment is rising in community 179. to support ongoing recovery,Livelihood,MEDIUM
Infrastructure development is needed in zone 178. due to a critical situation,Infrastructure,HIGH
There has been a continuous problem with health services affecting daily life. Case 476 due to a critical situation,Health,HIGH
There has been a continuous problem with education services affecting daily life. Case 862 as a general requirement,Education,LOW
Relief support is needed after disaster in locality 371. with people in urgent distress,Disaster,HIGH
Household 106 reports lack of clean drinking water access. as part of current needs,Water,MEDIUM
Water scarcity is affecting daily life in region 21. due to a critical situation,Water,HIGH
Water scarcity is affecting daily life in region 114. to help the affected community,Water,MEDIUM
Earthquake impact is severe in region 283. due to a critical situation,Disaster,HIGH
"No electricity in the shelter area ever since the storm, the elderly can't cope but has roof. We really need help soon because the elderly can't cope. to support ongoing recovery",Shelter,MEDIUM
Community 260 depends on contaminated water sources. for timely assistance,Water,MEDIUM
"In the disaster affected zone, there is no doctor or medicine in our area for the past week, my family is in trouble with fever and it's emergency. due to a critical situation",Health,HIGH
The situation regarding food has worsened significantly in recent days. Case 3 as lives are at immediate risk,Food,HIGH
Residents in area 326 walk long distances for water collection. for timely assistance,Water,MEDIUM
The situation regarding shelter has worsened significantly in recent days. Case 28 with people in urgent distress,Shelter,HIGH
Open defecation is common in region 111. for routine support,Sanitation,LOW
Area 297 lacks proper sanitation and toilet facilities. to support ongoing recovery,Sanitation,MEDIUM
Natural disaster has disrupted life in zone 177. for timely assistance,Disaster,MEDIUM
Residents report ongoing health problems making survival difficult. Case 331 with people in urgent distress,Health,HIGH
"Partial closure due to repairs since last month, pregnant women need help but ongoing. We really need help soon because pregnant women need help. as part of current needs",Education,MEDIUM
"need urgent medical help, very difficult situation to help the affected community",Health,MEDIUM
Community 76 is recovering from cyclone damage. as part of current needs,Disaster,MEDIUM
The situation regarding shelter has worsened significantly in recent days. Case 992 as lives are at immediate risk,Shelter,HIGH
People in area 249 need skill development opportunities. to prepare for upcoming needs,Livelihood,LOW
"school closed most days, needs improvement to help the affected community",Education,MEDIUM
Natural disaster has disrupted life in zone 211. with people in urgent distress,Disaster,HIGH
Residents in area 166 walk long distances for water collection. as lives are at immediate risk,Water,HIGH
Open defecation is common in region 154. to support ongoing recovery,Sanitation,MEDIUM
Many families are impacted due to lack of proper shelter resources. Case 298 as part of current needs,Shelter,MEDIUM
Many families are impacted due to lack of proper health resources. Case 124 following a severe disaster,Health,HIGH
The situation regarding education has worsened significantly in recent days. Case 407 for timely assistance,Education,MEDIUM
Roads in village 31 are damaged and unsafe. for timely assistance,Infrastructure,MEDIUM
Families in region 377 lack stable income sources. with people in urgent distress,Livelihood,HIGH
Public transport is unavailable in locality 260. due to a critical situation,Infrastructure,HIGH
Community 201 is recovering from cyclone damage. to support ongoing recovery,Disaster,MEDIUM
There has been a continuous problem with health services affecting daily life. Case 304 following a severe disaster,Health,HIGH
Sanitation infrastructure is inadequate in zone 174. for routine support,Sanitation,LOW
Bridges in area 305 require urgent repair. as a general requirement,Infrastructure,LOW
Residents in area 192 walk long distances for water collection. for routine support,Water,LOW
Residents report ongoing education problems making survival difficult. Case 886 as part of current needs,Education,MEDIUM
There has been a continuous problem with food services affecting daily life. Case 614 as part of current needs,Food,MEDIUM
People in this area are facing severe issues related to education and need support immediately. Case 290 for future planning,Education,LOW
Many families are impacted due to lack of proper food resources. Case 985 for timely assistance,Food,MEDIUM
Community 29 depends on contaminated water sources. to help the affected community,Water,MEDIUM
Roads in village 186 are damaged and unsafe. for timely assistance,Infrastructure,MEDIUM
Household 350 reports lack of clean drinking water access. with people in urgent distress,Water,HIGH
Residents report ongoing health problems making survival difficult. Case 135 following a severe disaster,Health,HIGH
Flooding has displaced families in area 12. following a severe disaster,Disaster,HIGH
Infrastructure development is needed in zone 313. with people in urgent distress,Infrastructure,HIGH
"Our house is completely destroyed in the flood since supplies stopped, the community is desperate we are homeless now. following a severe disaster",Shelter,HIGH
Natural disaster has disrupted life in zone 241. as lives are at immediate risk,Disaster,HIGH
Residents in area 176 walk long distances for water collection. due to a critical situation,Water,HIGH
"Overcrowded house with no space following the flood, kids are getting weak family. to help the affected community",Shelter,MEDIUM
Community 33 is recovering from cyclone damage. as a general requirement,Disaster,LOW
"No electricity in the shelter area since last month, the whole neighborhood is struggling but has roof. to support ongoing recovery",Shelter,MEDIUM
There has been a continuous problem with education services affecting daily life. Case 542 to help the affected community,Education,MEDIUM
Sanitation infrastructure is inadequate in zone 169. due to a critical situation,Sanitation,HIGH
There has been a continuous problem with food services affecting daily life. Case 627 for timely assistance,Food,MEDIUM
"too many people small space, getting worse daily following a severe disaster",Shelter,HIGH
"too many people small space, not sure what to do as a general requirement",Shelter,LOW
Residents report ongoing shelter problems making survival difficult. Case 385 as lives are at immediate risk,Shelter,HIGH
Community 257 is facing hygiene issues due to poor sanitation. to support ongoing recovery,Sanitation,MEDIUM
Area 72 lacks proper sanitation and toilet facilities. as a general requirement,Sanitation,LOW
Sanitation infrastructure is inadequate in zone 87. as part of current needs,Sanitation,MEDIUM
Open defecation is common in region 275. following a severe disaster,Sanitation,HIGH
Open defecation is common in region 400. due to a critical situation,Sanitation,HIGH
Public transport is unavailable in locality 67. as lives are at immediate risk,Infrastructure,HIGH
Community 253 is recovering from cyclone damage. for routine support,Disaster,LOW
"classrooms overcrowded, getting worse daily to prepare for upcoming needs",Education,LOW
People in area 279 need skill development opportunities. as a general requirement,Livelihood,LOW
"food supply stopped suddenly, affecting everyone here as part of current needs",Food,MEDIUM
"Girls are dropping out due to lack of toilets over the past few days, school going kids are impacted. We really need help soon because school going kids are impacted. as part of current needs",Education,MEDIUM
People in this area are facing severe issues related to education and need support immediately. Case 71 to help the affected community,Education,MEDIUM
Village 249 requires installation of water supply systems. to help the affected community,Water,MEDIUM
Livelihood support is required for households in zone 200. to support ongoing recovery,Livelihood,MEDIUM
"In the hill tribe area, awareness on home maintenance for more than two weeks, my family is in trouble. We really need help soon because my family is in trouble. to prepare for upcoming needs",Shelter,LOW
Residents in area 102 walk long distances for water collection. as part of current needs,Water,MEDIUM
Infrastructure development is needed in zone 21. as lives are at immediate risk,Infrastructure,HIGH
"no food since 2 days, cant manage anymore for timely assistance",Food,MEDIUM
Roads in village 98 are damaged and unsafe. following a severe disaster,Infrastructure,HIGH
Bridges in area 236 require urgent repair. as part of current needs,Infrastructure,MEDIUM
"living outside sometimes, affecting everyone here for routine support",Shelter,LOW
Infrastructure development is needed in zone 124. for future planning,Infrastructure,LOW
The situation regarding shelter has worsened significantly in recent days. Case 472 for future planning,Shelter,LOW
Relief support is needed after disaster in locality 191. for future planning,Disaster,LOW
Open defecation is common in region 177. as lives are at immediate risk,Sanitation,HIGH
Community 228 is facing hygiene issues due to poor sanitation. as part of current needs,Sanitation,MEDIUM
There has been a continuous problem with education services affecting daily life. Case 675 to support ongoing recovery,Education,MEDIUM
Families in region 62 lack stable income sources. with people in urgent distress,Livelihood,HIGH
Many families are impacted due to lack of proper shelter resources. Case 865 due to a critical situation,Shelter,HIGH
Families in region 236 lack stable income sources. following a severe disaster,Livelihood,HIGH
"There is lack of nutritious food since supplies stopped, the whole neighborhood is struggling need better options. as part of current needs",Food,MEDIUM
Natural disaster has disrupted life in zone 387. as a general requirement,Disaster,LOW
Waste disposal systems are absent in locality 203. following a severe disaster,Sanitation,HIGH
People in area 112 need skill development opportunities. as lives are at immediate risk,Livelihood,HIGH
Unemployment is rising in community 176. following a severe disaster,Livelihood,HIGH
Household 41 reports lack of clean drinking water access. for future planning,Water,LOW
Livelihood support is required for households in zone 6. due to a critical situation,Livelihood,HIGH
Residents report ongoing shelter problems making survival difficult. Case 9 as lives are at immediate risk,Shelter,HIGH
Electricity supply is unreliable in region 412. as part of current needs,Infrastructure,MEDIUM
Many families are impacted due to lack of proper health resources. Case 402 due to a critical situation,Health,HIGH
Relief support is needed after disaster in locality 78. to help the affected community,Disaster,MEDIUM
Workers in locality 128 are struggling to find jobs. to support ongoing recovery,Livelihood,MEDIUM
Natural disaster has disrupted life in zone 336. to prepare for upcoming needs,Disaster,LOW
Community 335 is facing hygiene issues due to poor sanitation. for timely assistance,Sanitation,MEDIUM
no food since 2 days due to a critical situation,Food,HIGH
Community 313 is recovering from cyclone damage. to help the affected community,Disaster,MEDIUM
People in this area are facing severe issues related to shelter and need support immediately. Case 851 to prepare for upcoming needs,Shelter,LOW
Families in region 25 lack stable income sources. to prepare for upcoming needs,Livelihood,LOW
Residents report ongoing health problems making survival difficult. Case 599 as lives are at immediate risk,Health,HIGH
People in area 33 need skill development opportunities. as lives are at immediate risk,Livelihood,HIGH
"In the hill tribe area, some families have food but many don't after the heavy rains, the elderly can't cope need equal share. for timely assistance",Food,MEDIUM
Families in region 232 lack stable income sources. with people in urgent distress,Livelihood,HIGH
There has been a continuous problem with shelter services affecting daily life. Case 779 following a severe disaster,Shelter,HIGH
"In this rural community, no electricity in the shelter area after the heavy rains, the community is desperate but has roof. We really need help soon because the community is desperate. as part of current needs",Shelter,MEDIUM
People in this area are facing severe issues related to food and need support immediately. Case 520 to help the affected community,Food,MEDIUM
"no books for students, very difficult situation as lives are at immediate risk",Education,HIGH
Bridges in area 62 require urgent repair. as lives are at immediate risk,Infrastructure,HIGH
"In the disaster affected zone, no awareness programs on hygiene the last 10 days, women and children are affected but could help. We really need help soon because women and children are affected. for timely assistance",Health,MEDIUM
"hospital too far cant go, need support soon to prepare for upcoming needs",Health,LOW
Community 240 is recovering from cyclone damage. to prepare for upcoming needs,Disaster,LOW
The situation regarding shelter has worsened significantly in recent days. Case 336 as part of current needs,Shelter,MEDIUM
Bridges in area 385 require urgent repair. as lives are at immediate risk,Infrastructure,HIGH
"In my locality, the classroom is overcrowded for more than two weeks, disabled people are at risk no proper learning. to support ongoing recovery",Education,MEDIUM
Public transport is unavailable in locality 130. for routine support,Infrastructure,LOW
Many families are impacted due to lack of proper health resources. Case 257 due to a critical situation,Health,HIGH
People in this area are facing severe issues related to education and need support immediately. Case 686 as a general requirement,Education,LOW
Bridges in area 229 require urgent repair. to prepare for upcoming needs,Infrastructure,LOW
Area 360 lacks proper sanitation and toilet facilities. as part of current needs,Sanitation,MEDIUM
Bridges in area 206 require urgent repair. due to a critical situation,Infrastructure,HIGH
"In the slum area, severe malaria cases increasing since supplies stopped, school going kids are impacted without drugs. with people in urgent distress",Health,HIGH
There has been a continuous problem with food services affecting daily life. Case 289 as part of current needs,Food,MEDIUM
Unemployment is rising in community 313. following a severe disaster,Livelihood,HIGH
"The food is there but we need cooking gas refills for more than two weeks, the community is desperate. for future planning",Food,LOW
Bridges in area 36 require urgent repair. as a general requirement,Infrastructure,LOW
Public transport is unavailable in locality 308. to prepare for upcoming needs,Infrastructure,LOW
Many families are impacted due to lack of proper food resources. Case 141 following a severe disaster,Food,HIGH
Earthquake impact is severe in region 364. as lives are at immediate risk,Disaster,HIGH
Water scarcity is affecting daily life in region 76. due to a critical situation,Water,HIGH
People in this area are facing severe issues related to education and need support immediately. Case 984 to help the affected community,Education,MEDIUM
Workers in locality 125 are struggling to find jobs. for routine support,Livelihood,LOW
"In the disaster affected zone, teachers not trained for new syllabus ever since the storm, the elderly can't cope. We really need help soon because the elderly can't cope. to support ongoing recovery",Education,MEDIUM
Water scarcity is affecting daily life in region 212. to prepare for upcoming needs,Water,LOW
"Food is okay but children need snacks for school in this drought, my family is in trouble. We really need help soon because my family is in trouble. as a general requirement",Food,LOW
Water scarcity is affecting daily life in region 233. as lives are at immediate risk,Water,HIGH
People in this area are facing severe issues related to shelter and need support immediately. Case 214 to support ongoing recovery,Shelter,MEDIUM
Residents report ongoing education problems making survival difficult. Case 576 to prepare for upcoming needs,Education,LOW
Food related issue reported in area 401 requiring attention. following a severe disaster,Food,HIGH
The situation regarding shelter has worsened significantly in recent days. Case 897 to support ongoing recovery,Shelter,MEDIUM
"kids hungry, meals skipped, not sure what to do to support ongoing recovery",Food,MEDIUM
Community 62 is recovering from cyclone damage. for future planning,Disaster,LOW
Natural disaster has disrupted life in zone 388. with people in urgent distress,Disaster,HIGH
There has been a continuous problem with shelter services affecting daily life. Case 265 for routine support,Shelter,LOW
Household 63 reports lack of clean drinking water access. for timely assistance,Water,MEDIUM
The situation regarding shelter has worsened significantly in recent days. Case 909 as a general requirement,Shelter,LOW
Community 119 is recovering from cyclone damage. with people in urgent distress,Disaster,HIGH
Families in region 113 lack stable income sources. for routine support,Livelihood,LOW
Education related issue reported in area 395 requiring attention. with people in urgent distress,Education,HIGH
Electricity supply is unreliable in region 104. to prepare for upcoming needs,Infrastructure,LOW
Water scarcity is affecting daily life in region 162. for timely assistance,Water,MEDIUM
People in this area are facing severe issues related to shelter and need support immediately. Case 271 for future planning,Shelter,LOW
Waste disposal systems are absent in locality 231. for timely assistance,Sanitation,MEDIUM
Community 140 depends on contaminated water sources. as a general requirement,Water,LOW
Flooding has displaced families in area 229. as part of current needs,Disaster,MEDIUM
Food related issue reported in area 409 requiring attention. with people in urgent distress,Food,HIGH
Community 159 is facing hygiene issues due to poor sanitation. for future planning,Sanitation,LOW
Village 274 requires installation of water supply systems. due to a critical situation,Water,HIGH
Community 134 depends on contaminated water sources. to prepare for upcoming needs,Water,LOW
"temporary shelter very bad, cant manage anymore to support ongoing recovery",Shelter,MEDIUM
Education related issue reported in area 406 requiring attention. to help the affected community,Education,MEDIUM
Many families are impacted due to lack of proper food resources. Case 624 to help the affected community,Food,MEDIUM
Many families are impacted due to lack of proper health resources. Case 983 due to a critical situation,Health,HIGH
Earthquake impact is severe in region 269. to support ongoing recovery,Disaster,MEDIUM
Electricity supply is unreliable in region 105. to prepare for upcoming needs,Infrastructure,LOW
The situation regarding health has worsened significantly in recent days. Case 736 as lives are at immediate risk,Health,HIGH
Livelihood support is required for households in zone 198. for timely assistance,Livelihood,MEDIUM
Flooding has displaced families in area 176. as lives are at immediate risk,Disaster,HIGH
Household 169 reports lack of clean drinking water access. to support ongoing recovery,Water,MEDIUM
Open defecation is common in region 281. due to a critical situation,Sanitation,HIGH
Water scarcity is affecting daily life in region 64. following a severe disaster,Water,HIGH
Residents in area 349 walk long distances for water collection. with people in urgent distress,Water,HIGH
Residents in area 1 walk long distances for water collection. to support ongoing recovery,Water,MEDIUM
Unemployment is rising in community 354. with people in urgent distress,Livelihood,HIGH
Natural disaster has disrupted life in zone 393. as a general requirement,Disaster,LOW
Livelihood support is required for households in zone 45. for routine support,Livelihood,LOW
"The quality of food in the PDS is poor since last month, women and children are affected getting sick from it. We really need help soon because women and children are affected. as part of current needs",Food,MEDIUM
"The area needs a small pharmacy the last 10 days, the elderly can't cope for convenience. for future planning",Health,LOW
There has been a continuous problem with shelter services affecting daily life. Case 918 for future planning,Shelter,LOW
Village 372 requires installation of water supply systems. to help the affected community,Water,MEDIUM
Flooding has displaced families in area 103. as a general requirement,Disaster,LOW
There has been a continuous problem with food services affecting daily life. Case 643 as part of current needs,Food,MEDIUM
Open defecation is common in region 224. for timely assistance,Sanitation,MEDIUM
Infrastructure development is needed in zone 367. following a severe disaster,Infrastructure,HIGH
"ration finished early this month, urgent attention needed following a severe disaster",Food,HIGH
Residents report ongoing education problems making survival difficult. Case 695 to prepare for upcoming needs,Education,LOW
Earthquake impact is severe in region 197. as part of current needs,Disaster,MEDIUM
People in this area are facing severe issues related to health and need support immediately. Case 49 to support ongoing recovery,Health,MEDIUM
"Overcrowded house with no space for more than two weeks, children are suffering badly family. to support ongoing recovery",Shelter,MEDIUM
"Snake bite victim needs immediate help for the past week, women and children are affected no anti venom. with people in urgent distress",Health,HIGH
Household 306 reports lack of clean drinking water access. for routine support,Water,LOW
The situation regarding education has worsened significantly in recent days. Case 846 as part of current needs,Education,MEDIUM
Many families are impacted due to lack of proper shelter resources. Case 609 for future planning,Shelter,LOW
Earthquake impact is severe in region 299. to prepare for upcoming needs,Disaster,LOW
People in area 190 need skill development opportunities. for future planning,Livelihood,LOW
Community 230 is recovering from cyclone damage. with people in urgent distress,Disaster,HIGH
People in this area are facing severe issues related to shelter and need support immediately. Case 197 to support ongoing recovery,Shelter,MEDIUM
"In the coastal village, partial closure due to repairs for the past week, pregnant women need help but ongoing. to help the affected community",Education,MEDIUM
"no proper place to stay, pls help for routine support",Shelter,LOW
Village 348 requires installation of water supply systems. as a general requirement,Water,LOW
Household 25 reports lack of clean drinking water access. due to a critical situation,Water,HIGH
Infrastructure development is needed in zone 213. to support ongoing recovery,Infrastructure,MEDIUM
Water scarcity is affecting daily life in region 213. as part of current needs,Water,MEDIUM
Electricity supply is unreliable in region 225. as lives are at immediate risk,Infrastructure,HIGH
Household 84 reports lack of clean drinking water access. to prepare for upcoming needs,Water,LOW
Bridges in area 106 require urgent repair. to support ongoing recovery,Infrastructure,MEDIUM
Roads in village 303 are damaged and unsafe. with people in urgent distress,Infrastructure,HIGH
Area 157 lacks proper sanitation and toilet facilities. due to a critical situation,Sanitation,HIGH
Families in region 368 lack stable income sources. following a severe disaster,Livelihood,HIGH
Residents report ongoing food problems making survival difficult. Case 570 for timely assistance,Food,MEDIUM
Bridges in area 72 require urgent repair. for routine support,Infrastructure,LOW
Livelihood support is required for households in zone 102. for timely assistance,Livelihood,MEDIUM
There has been a continuous problem with food services affecting daily life. Case 674 following a severe disaster,Food,HIGH
People in area 399 need skill development opportunities. for future planning,Livelihood,LOW
Open defecation is common in region 140. for timely assistance,Sanitation,MEDIUM
The situation regarding food has worsened significantly in recent days. Case 260 as lives are at immediate risk,Food,HIGH
Infrastructure development is needed in zone 12. following a severe disaster,Infrastructure,HIGH
Many families are impacted due to lack of proper shelter resources. Case 848 with people in urgent distress,Shelter,HIGH
Water scarcity is affecting daily life in region 387. to prepare for upcoming needs,Water,LOW
Roads in village 180 are damaged and unsafe. as lives are at immediate risk,Infrastructure,HIGH
Open defecation is common in region 103. with people in urgent distress,Sanitation,HIGH
There has been a continuous problem with food services affecting daily life. Case 996 to support ongoing recovery,Food,MEDIUM
Earthquake impact is severe in region 349. following a severe disaster,Disaster,HIGH
Bridges in area 15 require urgent repair. for timely assistance,Infrastructure,MEDIUM
Bridges in area 337 require urgent repair. with people in urgent distress,Infrastructure,HIGH
Community 71 is recovering from cyclone damage. to help the affected community,Disaster,MEDIUM
"pls help no doctor here, not sure what to do as lives are at immediate risk",Health,HIGH
Area 344 lacks proper sanitation and toilet facilities. following a severe disaster,Sanitation,HIGH
Community 37 is recovering from cyclone damage. to support ongoing recovery,Disaster,MEDIUM
Workers in locality 347 are struggling to find jobs. as a general requirement,Livelihood,LOW
Sanitation infrastructure is inadequate in zone 45. to support ongoing recovery,Sanitation,MEDIUM
The situation regarding health has worsened significantly in recent days. Case 758 due to a critical situation,Health,HIGH
The situation regarding education has worsened significantly in recent days. Case 859 to prepare for upcoming needs,Education,LOW
There has been a continuous problem with education services affecting daily life. Case 373 for routine support,Education,LOW
Residents in area 267 walk long distances for water collection. as lives are at immediate risk,Water,HIGH
Community 310 is facing hygiene issues due to poor sanitation. to support ongoing recovery,Sanitation,MEDIUM
Household 177 reports lack of clean drinking water access. for routine support,Water,LOW
Community 4 is facing hygiene issues due to poor sanitation. for timely assistance,Sanitation,MEDIUM
People in this area are facing severe issues related to shelter and need support immediately. Case 430 for routine support,Shelter,LOW
Unemployment is rising in community 109. as lives are at immediate risk,Livelihood,HIGH
"Shelter is fine but we want solar lights in this drought, pregnant women need help. We really need help soon because pregnant women need help. for routine support",Shelter,LOW
Waste disposal systems are absent in locality 282. to prepare for upcoming needs,Sanitation,LOW
People in this area are facing severe issues related to shelter and need support immediately. Case 119 to support ongoing recovery,Shelter,MEDIUM
Electricity supply is unreliable in region 258. for routine support,Infrastructure,LOW
People in area 206 need skill development opportunities. to support ongoing recovery,Livelihood,MEDIUM
The situation regarding health has worsened significantly in recent days. Case 913 as lives are at immediate risk,Health,HIGH
"not getting proper meals daily, getting worse daily for future planning",Food,LOW
Natural disaster has disrupted life in zone 155. for routine support,Disaster,LOW
Earthquake impact is severe in region 111. as a general requirement,Disaster,LOW
"ration finished early this month, affecting everyone here as lives are at immediate risk",Food,HIGH
There has been a continuous problem with education services affecting daily life. Case 179 as part of current needs,Education,MEDIUM
Earthquake impact is severe in region 300. as a general requirement,Disaster,LOW
Families in region 364 lack stable income sources. as lives are at immediate risk,Livelihood,HIGH
"people sick no clinic open, getting worse daily to support ongoing recovery",Health,MEDIUM
Many families are impacted due to lack of proper health resources. Case 463 with people in urgent distress,Health,HIGH
Household 146 reports lack of clean drinking water access. to support ongoing recovery,Water,MEDIUM
People in area 171 need skill development opportunities. for timely assistance,Livelihood,MEDIUM
Many families are impacted due to lack of proper shelter resources. Case 237 as a general requirement,Shelter,LOW
Workers in locality 387 are struggling to find jobs. as lives are at immediate risk,Livelihood,HIGH
There has been a continuous problem with education services affecting daily life. Case 804 to prepare for upcoming needs,Education,LOW
Many families are impacted due to lack of proper food resources. Case 27 following a severe disaster,Food,HIGH
"people sick no clinic open, pls help for future planning",Health,LOW
Water scarcity is affecting daily life in region 58. for future planning,Water,LOW
Families in region 10 lack stable income sources. for routine support,Livelihood,LOW
"In my locality, the hut is broken and no place to sleep safely since supplies stopped, my family is in trouble. with people in urgent distress",Shelter,HIGH
Waste disposal systems are absent in locality 98. to prepare for upcoming needs,Sanitation,LOW
Waste disposal systems are absent in locality 141. to prepare for upcoming needs,Sanitation,LOW
Residents report ongoing education problems making survival difficult. Case 961 for routine support,Education,LOW
"kids hungry, meals skipped to support ongoing recovery",Food,MEDIUM
Families in region 90 lack stable income sources. for routine support,Livelihood,LOW
"no books for students, getting worse daily to support ongoing recovery",Education,MEDIUM
Unemployment is rising in community 360. for routine support,Livelihood,LOW
Unemployment is rising in community 252. as lives are at immediate risk,Livelihood,HIGH
"no books for students, affecting everyone here as lives are at immediate risk",Education,HIGH
Sanitation infrastructure is inadequate in zone 376. to support ongoing recovery,Sanitation,MEDIUM
